Channel,X,Y,Z
PPO2,0.2535,-0.8215,0.5108
AFF7h,-0.6744,0.7308,0.1057
AFF8h,0.6744,0.7308,0.1057
PPO7h,-0.6744,-0.7308,0.1057
PPO8h,0.6744,-0.7308,0.1057
AFF5h,-0.5556,0.7747,0.3019
AFF6h,0.5556,0.7747,0.3019
PPO5h,-0.5556,-0.7747,0.3019
PPO6h,0.5556,-0.7747,0.3019
AFF3h,-0.3684,0.8095,0.4572
AFF4h,0.3684,0.8095,0.4572
PPO3h,-0.3684,-0.8095,0.4572
PPO4h,0.3684,-0.8095,0.4572
AFF1h,-0.1291,0.8289,0.5442
AFF2h,0.1291,0.8289,0.5442
PPO1h,-0.1291,-0.8289,0.5442
PPO2h,0.1291,-0.8289,0.5442
FFC3,-0.6146,0.5258,0.5881
FFC4,0.6146,0.5258,0.5881
CPP3,-0.6146,-0.5258,0.5881
CPP4,0.6146,-0.5258,0.5881
FFC5,-0.8094,0.493,0.319
FFC6,0.8094,0.493,0.319
CPP5,-0.8094,-0.493,0.319
CPP6,0.8094,-0.493,0.319
FFC1,-0.3313,0.5478,0.7682
FFC2,0.3313,0.5478,0.7682
CPP1,-0.3313,-0.5478,0.7682
CPP2,0.3313,-0.5478,0.7682
FFT7h,-0.8653,0.4739,0.163
FFT8h,0.8653,0.4739,0.163
TPP7h,-0.8653,-0.4739,0.163
TPP8h,0.8653,-0.4739,0.163
FFC5h,-0.7249,0.5105,0.4625
FFC6h,0.7249,0.5105,0.4625
CPP5h,-0.7249,-0.5105,0.4625
CPP6h,0.7249,-0.5105,0.4625
FFC3h,-0.4817,0.5385,0.6914
FFC4h,0.4817,0.5385,0.6914
CPP3h,-0.4817,-0.5385,0.6914
CPP4h,0.4817,-0.5385,0.6914
FFC1h,-0.1687,0.5536,0.8155
FFC2h,0.1687,0.5536,0.8155
CPP1h,-0.1687,-0.5536,0.8155
CPP2h,0.1687,-0.5536,0.8155
FCC3,-0.6963,0.1838,0.6938
FCC4,0.6963,0.1838,0.6938
CCP3,-0.6963,-0.1838,0.6938
CCP4,0.6963,-0.1838,0.6938
FCC5,-0.9108,0.1712,0.3757
FCC6,0.9108,0.1712,0.3757
CCP5,-0.9108,-0.1712,0.3757
CCP6,0.9108,-0.1712,0.3757
FCC1,-0.3766,0.1922,0.9062
FCC2,0.3766,0.1922,0.9062
CCP1,-0.3766,-0.1922,0.9062
CCP2,0.3766,-0.1922,0.9062
FTT7h,-0.9677,0.164,0.1916
FTT8h,0.9677,0.164,0.1916
TTP7h,-0.9677,-0.164,0.1916
TTP8h,0.9677,-0.164,0.1916
FCC5h,-0.8191,0.1779,0.5453
FCC6h,0.8191,0.1779,0.5453
CCP5h,-0.8191,-0.1779,0.5453
CCP6h,0.8191,-0.1779,0.5453
FCC3h,-0.5469,0.1886,0.8157
FCC4h,0.5469,0.1886,0.8157
CCP3h,-0.5469,-0.1886,0.8157
CCP4h,0.5469,-0.1886,0.8157
FCC1h,-0.192,0.1943,0.962
FCC2h,0.192,0.1943,0.962
CCP1h,-0.192,-0.1943,0.962
CCP2h,0.192,-0.1943,0.962
A1,-0.9239,0.0,-0.3827
A2,0.9239,0.0,-0.3827
LPA,-0.9239,0.0,-0.3827
RPA,0.9239,0.0,-0.3827
LM,-0.8787,-0.2855,-0.3827
RM,0.8787,-0.2855,-0.3827
1,0.7501,0.545,-0.3746
2,0.6783,0.7273,-0.1045
3,0.5507,0.8164,0.1736
4,0.2777,0.8548,0.4384
5,0.1545,0.7269,0.6691
6,0.0,0.5299,0.848
7,-0.162,0.223,0.9613
8,0.545,0.7501,-0.3746
9,0.436,0.8939,-0.1045
10,0.2879,0.9418,0.1736
11,0.0,0.8988,0.4384
12,-0.1545,0.7269,0.6691
13,-0.3115,0.4287,0.848
14,0.2865,0.8818,-0.3746
15,0.1556,0.9823,-0.1045
16,0.0,0.9848,0.1736
17,0.0,0.8315,-0.5556
18,-0.1556,0.9823,-0.1045
19,-0.3043,0.9366,0.1736
20,-0.2777,0.8548,0.4384
21,-0.4368,0.6012,0.6691
22,-0.2865,0.8818,-0.3746
23,-0.436,0.8939,-0.1045
24,-0.5789,0.7967,0.1736
25,-0.5283,0.7271,0.4384
26,-0.545,0.7501,-0.3746
27,-0.6783,0.7273,-0.1045
28,-0.776,0.6063,0.1736
29,-0.7271,0.5283,0.4384
30,-0.6436,0.3716,0.6691
31,-0.504,0.1638,0.848
32,-0.2621,-0.0852,0.9613
33,-0.7501,0.545,-0.3746
34,-0.8613,0.4973,-0.1045
35,-0.9194,0.3529,0.1736
36,-0.8548,0.2777,0.4384
37,-0.7391,0.0777,0.6691
38,-0.504,-0.1638,0.848
39,-0.8818,0.2865,-0.3746
40,-0.969,0.2237,-0.1045
41,-0.9824,0.0687,0.1736
42,-0.8988,0.0,0.4384
43,-0.7068,-0.2296,0.6691
44,-0.6824,0.394,-0.6157
45,-0.9272,0.0,-0.3746
46,-0.9921,-0.0694,-0.1045
47,-0.9596,-0.2215,0.1736
48,-0.8548,-0.2777,0.4384
49,-0.776,0.1368,-0.6157
50,-0.9285,-0.3564,-0.1045
51,-0.8529,-0.4924,0.1736
52,-0.7271,-0.5283,0.4384
53,-0.5523,-0.4973,0.6691
54,-0.3115,-0.4287,0.848
55,0.0,-0.2756,0.9613
56,-0.776,-0.1368,-0.6157
57,-0.8535,-0.3623,-0.3746
58,-0.7837,-0.6123,-0.1045
59,-0.6716,-0.7202,0.1736
60,-0.5283,-0.7271,0.4384
61,-0.3023,-0.6789,0.6691
62,0.0,-0.5299,0.848
63,-0.6824,-0.394,-0.6157
64,-0.6998,-0.6083,-0.3746
65,-0.5704,-0.8147,-0.1045
66,-0.4317,-0.8851,0.1736
67,-0.2777,-0.8548,0.4384
68,0.0,-0.7431,0.6691
69,-0.5065,-0.6037,-0.6157
70,-0.4913,-0.7863,-0.3746
71,-0.3073,-0.9458,-0.1045
72,-0.1541,-0.9727,0.1736
73,0.0,-0.8988,0.4384
74,-0.2695,-0.7405,-0.6157
75,-0.161,-0.9131,-0.3746
76,0.0,-0.9945,-0.1045
77,0.1541,-0.9727,0.1736
78,0.2777,-0.8548,0.4384
79,0.3023,-0.6789,0.6691
80,0.3115,-0.4287,0.848
81,0.2621,-0.0852,0.9613
82,0.0,-0.788,-0.6157
83,0.161,-0.9131,-0.3746
84,0.3073,-0.9458,-0.1045
85,0.4317,-0.8851,0.1736
86,0.5283,-0.7271,0.4384
87,0.5523,-0.4973,0.6691
88,0.504,-0.1638,0.848
89,0.2695,-0.7405,-0.6157
90,0.4775,-0.7948,-0.3746
91,0.5704,-0.8147,-0.1045
92,0.6716,-0.7202,0.1736
93,0.7271,-0.5283,0.4384
94,0.7068,-0.2296,0.6691
95,0.5065,-0.6037,-0.6157
96,0.6998,-0.6083,-0.3746
97,0.7837,-0.6123,-0.1045
98,0.8529,-0.4924,0.1736
99,0.8548,-0.2777,0.4384
100,0.6824,-0.394,-0.6157
101,0.8535,-0.3623,-0.3746
102,0.9285,-0.3564,-0.1045
103,0.9596,-0.2215,0.1736
104,0.8988,0.0,0.4384
105,0.7391,0.0777,0.6691
106,0.504,0.1638,0.848
107,0.162,0.223,0.9613
108,0.776,-0.1368,-0.6157
109,0.9921,-0.0694,-0.1045
110,0.9824,0.0687,0.1736
111,0.8548,0.2777,0.4384
112,0.6436,0.3716,0.6691
113,0.3115,0.4287,0.848
114,0.776,0.1368,-0.6157
115,0.9272,0.0,-0.3746
116,0.969,0.2237,-0.1045
117,0.9194,0.3529,0.1736
118,0.7271,0.5283,0.4384
119,0.4368,0.6012,0.6691
120,0.6824,0.394,-0.6157
121,0.8818,0.2865,-0.3746
122,0.8613,0.4973,-0.1045
123,0.776,0.6063,0.1736
124,0.5283,0.7271,0.4384
125,0.5065,0.6037,-0.6157
126,0.2695,0.7405,-0.6157
127,-0.2695,0.7405,-0.6157
128,-0.5065,0.6037,-0.6157
129,0.0,0.0,1.0
